type,title,link,description,logo
academic,Ahmed E. Hassan,http://research.cs.queensu.ca/~ahmed/home/, ,
academic,Christoph Treude,http://ctreude.ca/, ,
academic,Paulo Borba,http://lattes.cnpq.br/9395715443254344, ,
academic,Rodrigo Bonifacio,https://scholar.google.com/citations?user=YegiOugAAAAJ&hl=pt-PT, ,
academic,Vander Alves,https://sites.google.com/site/vanderalves/, ,
industrial,SINFO - Superintendência de Informática da UFRN,http://www.info.ufrn.br, ,sinfo.png
industrial,FUNCERN,http://funcern.br, ,funcern.png
industrial,Dataprev,http://dataprev.gov.br, ,dataprev.png
industrial,Phoebus,http://phoebus.com.br, ,phoebus.png
industrial,Conductor,http://conductor.com.br, ,conductor.png
